"ini_monit","mac_local","mac_destino","rssi","lqi","latencia","desconexion","tiempo"
2019-02-25 11:45:37,"0010","0005",-95,108,0.0980305671691895,0,1551095137
2019-02-25 11:45:37,"0010","0006",-92,108,0.0980305671691895,0,1551095137
2019-02-25 11:45:37,"0010","0002",-98,108,0.0980305671691895,0,1551095137
2019-02-25 11:45:42,"0010","0004",-54,108,0.0970337390899658,0,1551095142
2019-02-25 11:45:42,"0010","0005",-95,108,0.0970337390899658,0,1551095142
2019-02-25 11:45:42,"0010","0006",-92,108,0.0970337390899658,0,1551095142
2019-02-25 11:45:42,"0010","0002",-98,108,0.0970337390899658,0,1551095142
2019-02-25 11:45:43,"0010","0004",-54,108,0.0970349311828613,0,1551095143
2019-02-25 11:45:43,"0010","0005",-95,108,0.0970349311828613,0,1551095143
2019-02-25 11:45:43,"0010","0006",-92,108,0.0970349311828613,0,1551095143
2019-02-25 11:45:43,"0010","0002",-98,108,0.0970349311828613,0,1551095143
2019-02-25 11:45:51,"0010","0004",-54,108,0.0930435657501221,0,1551095151
2019-02-25 11:45:51,"0010","0005",-95,108,0.0930435657501221,0,1551095151
2019-02-25 11:45:51,"0010","0006",-92,108,0.0930435657501221,0,1551095151
2019-02-25 11:45:51,"0010","0002",-98,108,0.0930435657501221,0,1551095151
2019-02-25 11:45:57,"0010","0004",-58,107,0.0939884185791016,0,1551095157
2019-02-25 11:45:57,"0010","0005",-100,107,0.0939884185791016,0,1551095157
2019-02-25 11:45:57,"0010","0006",-92,107,0.0939884185791016,0,1551095157
2019-02-25 11:45:57,"0010","0002",-99,107,0.0939884185791016,0,1551095157
2019-02-25 11:45:59,"0010","0004",-58,107,0.0999948978424072,0,1551095159
2019-02-25 11:45:59,"0010","0005",-100,107,0.0999948978424072,0,1551095159
2019-02-25 11:45:59,"0010","0006",-92,107,0.0999948978424072,0,1551095159
2019-02-25 11:45:59,"0010","0002",-99,107,0.0999948978424072,0,1551095159
2019-02-25 11:46:05,"0010","0004",-58,107,0.0939934253692627,0,1551095165
2019-02-25 11:46:05,"0010","0005",-100,107,0.0939934253692627,0,1551095165
2019-02-25 11:46:05,"0010","0006",-92,107,0.0939934253692627,0,1551095165
2019-02-25 11:46:05,"0010","0002",-99,107,0.0939934253692627,0,1551095165
2019-02-25 11:46:07,"0010","0004",-58,107,0.0960092544555664,0,1551095167
2019-02-25 11:46:07,"0010","0005",-100,107,0.0960092544555664,0,1551095167
2019-02-25 11:46:07,"0010","0006",-92,107,0.0960092544555664,0,1551095167
2019-02-25 11:46:07,"0010","0002",-99,107,0.0960092544555664,0,1551095167
2019-02-25 11:46:13,"0010","0004",-60,108,0.0959959030151367,0,1551095173
2019-02-25 11:46:13,"0010","0005",-96,106,0.0959959030151367,0,1551095173
